year,global_avg_temp,city_avg_temp
1750,8.72,9.83
1751,7.98,9.75
1752,5.78,4.84
1753,8.39,8.72
1754,8.47,8.49
1755,8.36,8.26
1756,8.85,9.62
1757,9.02,9.15
1758,6.74,8.25
1759,7.99,9.04
1760,7.19,8.99
1761,8.77,9.47
1762,8.61,8.53
1763,7.50,8.62
1764,8.40,8.91
1765,8.25,8.54
1766,8.41,8.87
1767,8.22,8.14
1768,6.78,8.03
1769,7.69,8.46
1770,7.69,8.50
1771,7.85,7.45
1772,8.19,9.13
1773,8.22,9.52
1774,8.77,8.46
1775,9.18,10.10
1776,8.30,8.36
1777,8.26,8.29
1778,8.54,9.43
1779,8.98,10.47
1780,9.43,8.78
1781,8.10,9.98
1782,7.90,8.61
1783,7.68,9.76
1784,7.86,7.67
1785,7.36,7.42
1786,8.26,7.68
1787,8.03,9.27
1788,8.45,8.33
1789,8.33,8.99
1790,7.98,9.09
1791,8.23,9.55
1792,8.09,8.90
1793,8.23,9.18
1794,8.53,10.02
1795,8.35,8.87
1796,8.27,9.01
1797,8.51,10.07
1798,8.67,9.33
1799,8.51,6.72
1800,8.48,8.60
1801,8.59,9.61
1802,8.58,9.08
1803,8.50,8.02
1804,8.84,8.36
1805,8.56,7.20
1806,8.43,9.67
1807,8.28,9.42
1808,7.63,8.15
1809,7.08,8.66
1810,6.92,8.46
1811,6.86,9.93
1812,7.05,7.35
1813,7.74,8.66
1814,7.59,7.46
1815,7.24,8.38
1816,6.94,7.75
1817,6.98,8.92
1818,7.83,9.00
1819,7.37,9.43
1820,7.62,7.86
1821,8.09,9.15
1822,8.19,10.05
1823,7.72,8.26
1824,8.55,9.61
1825,8.39,9.32
1826,8.36,9.35
1827,8.81,8.99
1828,8.17,8.94
1829,7.94,6.52
1830,8.52,8.08
1831,7.64,8.93
1832,7.45,8.34
1833,8.01,8.89
1834,8.15,10.40
1835,7.39,8.81
1836,7.70,8.88
1837,7.38,8.12
1838,7.51,6.98
1839,7.63,8.63
1840,7.80,7.74
1841,7.69,9.06
1842,8.02,8.51
1843,8.17,9.18
1844,7.65,7.85
1845,7.85,7.92
1846,8.55,9.84
1847,8.09,8.24
1848,7.98,8.75
1849,7.98,8.03
1850,7.90,8.20
1851,8.18,8.50
1852,8.10,9.54
1853,8.04,7.55
1854,8.21,8.69
1855,8.11,7.07
1856,8.00,8.50
1857,7.76,9.39
1858,8.10,7.97
1859,8.25,9.60
1860,7.96,8.00
1861,7.85,8.87
1862,7.56,8.91
1863,8.11,9.81
1864,7.98,6.99
1865,8.18,8.88
1866,8.29,9.44
1867,8.44,8.41
1868,8.25,10.24
1869,8.43,9.06
1870,8.20,7.57
1871,8.12,7.08
1872,8.19,9.97
1873,8.35,9.27
1874,8.43,9.08
1875,7.86,8.04
1876,8.08,8.64
1877,8.54,8.95
1878,8.83,9.38
1879,8.17,7.46
1880,8.12,9.08
1881,8.27,7.75
1882,8.13,9.28
1883,7.98,8.54
1884,7.77,9.20
1885,7.92,8.47
1886,7.95,8.55
1887,7.91,7.93
1888,8.09,7.61
1889,8.32,8.34
1890,7.97,8.35
1891,8.02,8.48
1892,8.07,8.28
1893,8.06,8.50
1894,8.16,8.96
1895,8.15,8.28
1896,8.21,8.57
1897,8.29,8.69
1898,8.18,9.42
1899,8.40,8.96
1900,8.50,9.16
1901,8.54,8.58
1902,8.30,7.63
1903,8.22,9.28
1904,8.09,9.15
1905,8.23,8.90
1906,8.38,9.31
1907,7.95,8.52
1908,8.19,8.35
1909,8.18,8.16
1910,8.22,9.33
1911,8.18,9.89
1912,8.17,8.49
1913,8.30,9.41
1914,8.59,9.50
1915,8.59,8.56
1916,8.23,9.30
1917,8.02,8.39
1918,8.13,9.42
1919,8.38,8.00
1920,8.36,9.37
1921,8.57,9.78
1922,8.41,7.76
1923,8.42,8.58
1924,8.51,8.30
1925,8.53,9.32
1926,8.73,9.57
1927,8.52,8.72
1928,8.63,8.92
1929,8.24,7.99
1930,8.63,9.48
1931,8.72,8.35
1932,8.71,9.23
1933,8.34,8.32
1934,8.63,10.69
1935,8.52,9.34
1936,8.55,9.30
1937,8.70,9.41
1938,8.86,9.77
1939,8.76,9.32
1940,8.76,7.04
1941,8.77,7.62
1942,8.73,7.80
1943,8.76,9.67
1944,8.85,9.31
1945,8.58,9.64
1946,8.68,9.12
1947,8.80,8.79
1948,8.75,9.96
1949,8.59,10.04
1950,8.37,9.37
1951,8.63,9.72
1952,8.64,8.61
1953,8.87,10.13
1954,8.56,8.41
1955,8.63,8.36
1956,8.28,7.57
1957,8.73,9.46
1958,8.77,9.05
1959,8.73,9.88
1960,8.58,9.22
1961,8.80,9.81
1962,8.75,8.13
1963,8.86,8.12
1964,8.41,8.84
1965,8.53,8.33
1966,8.60,9.34
1967,8.70,10.08
1968,8.52,9.28
1969,8.60,8.43
1970,8.70,8.43
1971,8.60,9.54
1972,8.50,8.88
1973,8.95,9.24
1974,8.47,9.89
1975,8.74,10.08
1976,8.35,9.15
1977,8.85,9.54
1978,8.69,8.86
1979,8.73,8.53
1980,8.98,8.26
1981,9.17,9.18
1982,8.64,10.08
1983,9.03,10.21
1984,8.69,8.94
1985,8.66,8.46
1986,8.83,8.78
1987,8.99,8.09
1988,9.20,10.02
1989,8.92,10.72
1990,9.23,10.71
1991,9.18,9.36
1992,8.84,10.38
1993,8.87,9.34
1994,9.04,10.43
1995,9.35,9.75
1996,9.04,7.88
1997,9.20,9.73
1998,9.52,10.05
1999,9.29,10.58
2000,9.20,10.96
2001,9.41,9.69
2002,9.57,10.26
2003,9.53,10.07
2004,9.32,9.82
2005,9.70,9.92
2006,9.53,10.55
2007,9.73,10.88
2008,9.43,10.66
2009,9.51,10.06
2010,9.70,8.61
2011,9.52,10.56
2012,9.51,9.96
2013,9.61,10.12
